start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
18-10-2014 09:30,18-10-2014 10:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
18-10-2014 10:00,18-10-2014 10:30,Jota,Radio,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Jota,Radio,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti
18-10-2014 10:30,18-10-2014 11:00,Radio,Jota,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Radio,Jota,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti
18-10-2014 11:00,18-10-2014 11:30,TV,TV,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen
18-10-2014 11:30,18-10-2014 12:00,TV,TV,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen
18-10-2014 12:00,18-10-2014 12:30,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
18-10-2014 12:30,18-10-2014 13:00,Joti,Joti,Joti,Joti,Jota,Radio,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Jota,Radio,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel
18-10-2014 13:00,18-10-2014 13:30,Joti,Joti,Joti,Joti,Radio,Jota,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Radio,Jota,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel
18-10-2014 13:30,18-10-2014 14:00,Knutselen,Knutselen,Knutselen,Knutselen,TV,TV,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel
18-10-2014 14:00,18-10-2014 14:30,Knutselen,Knutselen,Knutselen,Knutselen,TV,TV,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel
18-10-2014 14:30,18-10-2014 15:00,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,Jota,Radio,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Jota,Radio,TV,TV
18-10-2014 15:00,18-10-2014 15:30,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,Radio,Jota,TV,TV,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,Radio,Jota,TV,TV
18-10-2014 15:30,18-10-2014 16:00,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,TV,TV,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Jota,Radio
18-10-2014 16:00,18-10-2014 16:30,Bosspel,Bosspel,Bosspel,Bosspel,Knutselen,Knutselen,Knutselen,Knutselen,TV,TV,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,Joti,TV,TV,Radio,Jota
18-10-2014 16:30,18-10-2014 17:30,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
18-10-2014 17:30,18-10-2014 18:00,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen
18-10-2014 18:00,18-10-2014 20:30,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel
18-10-2014 20:30,18-10-2014 22:00,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur
18-10-2014 22:00,18-10-2014 23:00,"Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed",Naar huis,Naar huis,Naar huis,Naar huis
18-10-2014 23:00,19-10-2014 8:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,,,,
19-10-2014 8:00,19-10-2014 8:30,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,,,,
19-10-2014 8:30,19-10-2014 9:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,,,,
19-10-2014 9:00,19-10-2014 9:30,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,,,,
19-10-2014 9:30,19-10-2014 10:30,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,,,,
